Year,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Duration Type,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected
2017,12,12/7/2017,8:00:00 PM,12/8/2017,5:00:00 PM,21,6,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,88000
2017,12,12/29/2017,6:15:00 AM,12/29/2017,11:44:00 AM,5,6,Texas: Calhoun County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Others,Unknown,Unknown
2018,11,11/13/2018,6:19:00 PM,11/13/2018,7:40:00 PM,1,2,Arkansas: Oklahoma: Louisiana: Texas:,SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2018,12,12/3/2018,3:15:00 AM,12/3/2018,3:44:00 AM,0,2,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,16,Unknown
2018,12,12/11/2018,9:10:00 AM,12/11/2018,10:26:00 AM,1,2,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2018,12,12/14/2018,8:40:00 AM,12/14/2018,10:00:00 AM,1,2,Texas: Jasper County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2019,1,1/16/2019,5:19:00 AM,1/16/2019,7:14:00 AM,2,2,Texas: Nueces County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2019,2,2/19/2019,9:45:00 AM,Unknown,Unknown,N/A,NA,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2019,3,3/13/2019,3:51:00 PM,3/16/2019,6:00:00 PM,74,6,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Natural Disasters,50,54290
2019,3,3/13/2019,5:50:00 AM,3/13/2019,10:30:00 AM,5,6,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,154124
2019,3,3/13/2019,3:00:00 PM,3/14/2019,12:00:00 AM,9,6,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Natural Disasters,Unknown,66000
2019,4,4/7/2019,1:46:00 PM,4/8/2019,5:50:00 PM,28,6,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,537,231956
2019,4,4/13/2019,6:15:00 PM,4/13/2019,11:15:00 PM,5,6,Mississippi: Arkansas: Texas: Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,60467
2019,5,5/8/2019,3:50:00 PM,5/13/2019,12:00:00 AM,104,6,Louisiana: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Natural Disasters,Unknown,65844
2019,5,5/9/2019,5:55:00 PM,5/11/2019,8:50:00 PM,51,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,691,238015
2019,5,5/9/2019,7:06:00 PM,5/10/2019,2:57:00 AM,8,6,Texas: Harris County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,Natural Disasters,0,0
2019,5,5/10/2019,2:00:00 AM,5/10/2019,12:15:00 PM,10,6,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,61008
2019,5,5/18/2019,3:45:00 PM,5/20/2019,4:00:00 AM,36,6,"Texas: Ector County, Midland County, Tarrant County, Dallas County, Stephens County, Anderson County, McLennan County, Ellis County, Hunt County, Young County, Bell County, Limestone County, Collin County, Rockwall County, Henderson County, Parker County, Falls County, Freestone County, Kaufman County, Grayson County, Smith County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,68000
2019,6,6/6/2019,6:09:00 PM,6/6/2019,6:35:00 PM,0,2,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,55017
2019,6,6/7/2019,2:43:00 PM,6/7/2019,4:20:00 PM,2,2,Texas: Pecos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,8,1
2019,6,6/8/2019,3:50:00 PM,6/8/2019,7:40:00 PM,4,4,Texas: Potter County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2019,6,6/9/2019,2:45:00 PM,6/13/2019,10:30:00 PM,104,6,"Texas: Collin County, Dallas County, Denton County, Palo Pinto County, Tarrant County, Ellis County, Williamson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,558000
2019,6,6/16/2019,2:00:00 AM,6/17/2019,11:59:00 PM,46,6,"Texas: Dallas County, Tarrant County, Collin County, Denton County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,340000
2019,6,6/23/2019,10:00:00 PM,6/25/2019,11:00:00 PM,49,6,"Texas: Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,265000
2019,7,7/9/2019,1:59:00 AM,7/9/2019,3:50:00 PM,14,6,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2019,7,7/10/2019,12:10:00 PM,7/12/2019,12:30:00 PM,48,6,"Texas: Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,57000
2019,7,7/11/2019,11:08:00 AM,7/11/2019,11:13:00 AM,0,2,Texas: Lynn County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,26,2043
2019,8,8/9/2019,9:53:00 AM,8/9/2019,10:46:00 AM,1,2,Texas: Travis County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2019,8,8/13/2019,3:10:00 PM,8/13/2019,5:30:00 PM,2,2,Texas: Williamson County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2019,8,8/15/2019,3:11:00 PM,8/15/2019,6:00:00 PM,3,4,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2019,8,8/18/2019,4:47:00 PM,8/18/2019,11:00:00 PM,6,6,Texas:,TRE,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Distribution Interruption,Equipment Failure,752,86373
2019,8,8/18/2019,4:30:00 PM,8/18/2019,10:00:00 PM,6,6,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Transmission Interruption/Distribution Interruption,Equipment Failure,259,61000
2019,8,8/18/2019,3:59:00 PM,8/18/2019,11:00:00 PM,7,6,Louisiana: Texas:,SPP RE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Transmission Interruption,Equipment Failure,271,86373
2019,9,9/4/2019,2:30:00 PM,9/6/2019,6:00:00 PM,52,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2019,9,9/25/2019,9:59:00 AM,9/25/2019,10:00:00 AM,0,2,Texas:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,Unknown,Unknown
2019,10,10/6/2019,2:50:00 PM,10/6/2019,3:00:00 PM,0,2,"Texas: Hidalgo County, Cameron County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,Unknown,Unknown
2019,10,10/12/2019,3:00:00 PM,10/12/2019,4:21:00 PM,1,2,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2019,10,10/16/2019,7:00:00 AM,Unknown,Unknown,N/A,NA,Texas: Louisiana: Arkansas: Mississippi:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2019,10,10/20/2019,10:15:00 PM,10/25/2019,2:00:00 AM,100,6,"Texas: Cass County, Cameron County, Collin County, Dallas County, Ellis County, Erath County, Hunt County, Kaufman County, Lamar County, Panola County, Rains County, Rockwall County, Rusk County, Tarrant County, Van Zandt County, Wood County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,400000
2019,11,11/16/2019,6:00:00 AM,11/16/2019,5:45:00 PM,12,6,Texas: New York: Dutchess County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2019,11,11/29/2019,12:00:00 AM,12/1/2019,12:00:00 AM,48,6,Texas: Dawson County;,TRE,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Actual Physical Attack,Human Attack,0,0
2019,12,12/8/2019,1:40:00 PM,12/8/2019,1:41:00 PM,0,2,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2019,12,12/16/2019,11:55:00 PM,12/17/2019,1:47:00 AM,2,2,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2019,12,12/18/2019,2:30:00 PM,12/18/2019,3:25:00 PM,1,2,Texas: Nueces County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2019,12,12/31/2019,11:03:00 AM,1/1/2020,10:59:00 AM,24,6,Texas: Nueces County;,TRE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Transmission Interruption,Equipment Failure,25,0
2020,1,1/11/2020,3:30:00 AM,1/11/2020,5:30:00 PM,14,6,Arkansas: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,68138
2020,1,1/12/2020,11:15:00 AM,1/12/2020,11:18:00 AM,0,2,Texas: Brazos County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2020,1,1/16/2020,11:06:00 AM,1/16/2020,11:36:00 AM,1,2,Texas: Harris County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2020,2,2/11/2020,2:53:00 AM,2/11/2020,1:30:00 PM,11,6,Texas: Sterling County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability.,System Operations,Equipment Failure,0,0
2020,3,3/8/2020,10:10:00 PM,3/9/2020,1:02:00 AM,3,4,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2020,4,4/2/2020,6:41:00 PM,4/2/2020,7:23:00 PM,1,2,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2020,4,4/5/2020,2:30:00 AM,4/5/2020,3:01:00 AM,1,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2020,4,4/9/2020,7:25:00 PM,4/10/2020,3:30:00 AM,8,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,95000
2020,4,4/12/2020,6:13:00 PM,4/13/2020,3:23:00 PM,21,6,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,63289
2020,4,4/28/2020,8:01:00 PM,4/28/2020,11:21:00 PM,3,4,Texas: Jefferson County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,14,1
2020,4,4/29/2020,5:55:00 AM,4/29/2020,7:00:00 PM,13,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,146660
2020,5,5/16/2020,12:00:00 AM,5/16/2020,12:30:00 AM,1,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2020,5,5/25/2020,10:58:00 AM,5/25/2020,1:00:00 PM,2,2,Texas: Kerr County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,8,3745
2020,5,5/27/2020,5:15:00 PM,5/29/2020,6:30:00 AM,37,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,382000
2020,5,5/27/2020,5:20:00 PM,Unknown,Unknown,N/A,NA,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,273269
2020,5,5/30/2020,10:20:00 PM,5/30/2020,11:00:00 PM,1,2,Texas: Bexar County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2020,6,6/26/2020,12:47:00 PM,6/26/2020,1:53:00 PM,1,2,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2020,7,7/8/2020,10:04:00 PM,Unknown,Unknown,N/A,NA,Texas:,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,Human Attack,0,0
2020,7,7/12/2020,4:30:00 AM,7/13/2020,5:00:00 AM,25,6,"Texas: Collin County, Dallas County, Denton County, Rockwall County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,48000
2020,7,7/20/2020,12:57:00 AM,7/20/2020,2:34:00 AM,2,2,Texas: Travis County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Others,21,14096
2020,7,7/25/2020,9:00:00 PM,7/26/2020,4:00:00 PM,19,6,"Texas: Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,125,84000
2020,7,7/25/2020,7:58:00 PM,7/27/2020,7:00:00 PM,47,6,"Texas: Nueces County, Kleberg County, Cameron County, Willacy County, Hidalgo County, Starr County, Kenedy County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,201208
2020,8,8/1/2020,11:14:00 AM,8/10/2020,9:26:00 PM,226,6,"Texas: Cameron County, Willacy County, Hidalgo County, Starr County;",TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2020,8,8/1/2020,12:00:00 AM,8/1/2020,12:01:00 AM,0,2,"Texas: Cameron County, Hidalgo County, Starr County, Willacy County;",TRE,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Severe Weather,Natural Disasters,Unknown,Unknown
2020,8,8/3/2020,8:00:00 AM,8/3/2020,1:00:00 PM,5,6,Texas: Ector County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0
2020,8,8/5/2020,5:58:00 PM,8/5/2020,8:53:00 PM,3,4,Texas: Orange County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,89,19785
2020,8,8/13/2020,1:51:00 PM,8/13/2020,4:27:00 PM,3,4,Texas: El Paso County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,Equipment Failure,218,57060
2020,8,8/16/2020,8:00:00 PM,8/18/2020,9:00:00 PM,49,6,"Texas: Collin County, Dallas County, Denton County, Tarrant County, Ellis County, Kaufman County, Johnson County, Anderson County, Angelina County, Grayson County, Smith County, Wichita County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,300000
2020,8,8/18/2020,2:44:00 PM,8/18/2020,3:14:00 PM,1,2,"Texas: Culberson County, Reeves County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,205,238
2020,8,8/23/2020,10:30:00 AM,Unknown,Unknown,N/A,NA,"Texas panhandle, SE NM",TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2020,8,8/24/2020,11:00:00 PM,8/24/2020,11:59:00 PM,1,2,Texas: Denton County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Potential Physical Attack,Human Attack,0,0
2020,8,8/27/2020,12:44:00 PM,8/27/2020,11:00:00 PM,10,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Natural Disasters,Unknown,Unknown
2020,8,8/27/2020,12:06:00 PM,8/27/2020,10:49:00 PM,11,6,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Natural Disasters,581,Unknown
2020,8,8/27/2020,7:40:00 AM,8/31/2020,7:40:00 AM,96,6,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,130000
2020,8,8/27/2020,1:15:00 AM,Unknown,Unknown,N/A,NA,Texas: Louisiana:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,615992
2020,8,8/27/2020,7:40:00 AM,8/31/2020,3:33:00 AM,92,6,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,47927
2020,8,8/27/2020,12:02:00 PM,8/27/2020,10:54:00 PM,11,6,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Natural Disasters,573,Unknown
2020,8,8/27/2020,1:24:00 PM,Unknown,Unknown,N/A,NA,"Texas: Montgomery County, Liberty County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Natural Disasters,208,Unknown
2020,8,8/27/2020,12:06:00 PM,Unknown,Unknown,N/A,NA,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Natural Disasters,350,Unknown
2020,8,8/29/2020,3:35:00 AM,8/29/2020,5:45:00 AM,2,2,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,Natural Disasters,Unknown,Unknown
2020,10,10/9/2020,5:30:00 PM,10/10/2020,6:00:00 PM,25,6,Louisiana: Texas: Arkansas: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,477966
2020,10,10/14/2020,6:26:00 PM,10/15/2020,1:11:00 PM,19,6,Texas: Pecos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,18,Unknown
2020,10,10/23/2020,3:46:00 PM,10/23/2020,11:03:00 PM,7,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disasters,Unknown,55506
2020,10,10/28/2020,11:53:00 AM,10/28/2020,3:26:00 PM,4,4,Texas:,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,Unknown,Unknown
2020,10,10/28/2020,10:28:00 AM,10/28/2020,10:29:00 AM,0,2,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,Natural Disasters,Unknown,Unknown
2020,11,11/20/2020,9:10:00 AM,11/20/2020,9:22:00 AM,0,2,Texas: Kentucky: Arizona: New Mexico: Oregon: Washington:,TRE,Cyber event that causes interruptions of electrical system operations.,System Operations,Equipment Failure,0,Unknown
2020,11,11/30/2020,2:33:00 PM,11/30/2020,5:20:00 PM,3,4,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0
2020,12,12/11/2020,10:51:00 PM,12/11/2020,11:57:00 PM,1,2,Texas: Harris County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2021,12,12/19/2021,8:48:00 PM,12/19/2021,9:00:00 PM,0,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2021,12,12/21/2021,9:59:00 PM,12/22/2021,2:15:00 PM,16,6,Texas: Cameron County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,22,Unknown
2021,12,12/24/2021,12:34:00 AM,12/24/2021,6:40:00 AM,6,6,Texas: Rusk County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,Unknown,Unknown
2022,6,6/9/2022,2:33:00 AM,6/9/2022,6:49:00 AM,4,4,Texas: Dallas County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Others,0,0
2022,6,6/10/2022,12:08:00 PM,6/10/2022,9:30:00 PM,9,6,Texas: El Paso County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Actual Physical Attack/Vandalism,Human Attack,0,0
2022,6,6/27/2022,2:26:00 PM,6/28/2022,3:56:00 AM,14,6,Texas: Victoria County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,Natural Disasters,14,2491
2022,6,6/27/2022,6:21:00 AM,6/27/2022,7:26:00 AM,1,2,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2022,6,6/28/2022,9:27:00 AM,6/28/2022,10:42:00 AM,1,2,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0
2022,7,7/10/2022,9:00:00 PM,7/11/2022,8:00:00 PM,23,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Equipment Failure,Unknown,Unknown
2022,7,7/13/2022,11:30:00 AM,7/13/2022,9:00:00 PM,10,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Equipment Failure,Unknown,Unknown
2022,7,7/26/2022,6:38:00 AM,7/26/2022,12:57:00 PM,6,6,Texas: Hays County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0
2022,8,8/3/2022,2:00:00 AM,8/3/2022,3:07:00 AM,1,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2022,8,8/10/2022,7:56:00 PM,8/11/2022,8:00:00 PM,24,6,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,140464
2022,8,8/22/2022,12:46:00 PM,8/22/2022,1:09:00 PM,0,2,Texas: DeWitt County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,24,6385
2022,8,8/22/2022,8:40:00 PM,8/22/2022,9:57:00 PM,1,2,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,Natural Disasters,0,0
2022,8,8/29/2022,10:45:00 AM,8/29/2022,11:45:00 AM,1,2,Texas: Collin County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
2022,9,9/4/2022,4:00:00 PM,9/6/2022,8:00:00 AM,40,6,"Texas: Tarrant County, Collin County, Dallas County, Ellis County, Kaufman County, Rockwall County, Williamson County, Denton County, Archer County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disasters,Unknown,190000
2022,9,9/6/2022,6:00:00 AM,9/6/2022,6:22:00 AM,0,2,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Others,0,0
